"Id","Name","Status","Details","GapCategory"
"ENT-S31","Triple move + payment preserved","PASS","items=2 paid=1.00 audit=1",""
"ENT-S32","Cross-branch move blocked","PASS","status=403",""
"ENT-S33","Cross-company move blocked","PASS","status=403",""
"ENT-S34","Chef reject via supervisor cancel","PASS","",""
"ENT-S35","Dual chef MarkItemReady idempotent","PASS","ready=1 jobs=2",""
"ENT-S36","Bar ready before kitchen","PASS","",""
"ENT-S37","Kitchen ready before bar","FAIL","",""
"ENT-S38","Cancel drinks only food remains","PASS","",""
"ENT-S39","Cancel pizza add pasta same order","PASS","",""
"ENT-S40","Cooking term via Notes to kitchen","PASS","notes=Termino: azul",""
"ENT-S41","Update notes after send","PASS","notes=Extra queso, sin sal",""
"ENT-S43","Duplicate cashier idempotency","PASS","payments=1",""
"ENT-S44","Split persons partial pay","PASS","",""
"ENT-S45","Mixed payment methods","PASS","",""
"ENT-S46","Overpayment rejected","PASS","status=400",""
"ENT-S47","Partial pay leaves balance","PASS","pending=2.5000",""
"ENT-S48","Register outstanding debt on abandon","PASS","notes=OUTSTANDING:2.50|Cliente abandono mesa",""
"ENT-S49","Partial courtesy discount","PASS","disc=4",""
"ENT-S50","Total courtesy 100%","PASS","total=0.0000",""
"ENT-S52","Discount capped at subtotal","PASS","disc=2.0000 sub=2.0000",""
"ENT-S53","Happy hour mid-order pricing","PASS","unit=2.00 expected=2.00 cat=4.00",""
"ENT-S54","Open order price locked at add","PASS","unit=2.00",""
"ENT-S55","Deactivate product in active order blocked","PASS","msg=Datos inválidos",""
"ENT-S56","Deactivate station reroutes burger","FAIL","station=Parrilla",""
"ENT-S57","Kitchen stations off routes to Express","HIGH","station=Parrilla",""
"ENT-S58","Bar off routes to fallback bar","PASS","station=Bar Piso 2",""
"ENT-S59","Deactivate table with active order blocked","PASS","msg=Error: No se puede desactivar una mesa con una orden activa. Cierre o transfiera la orden primero.",""
"ENT-S61","Chef relogin KDS order persists","PASS","db=SentToKitchen",""
"ENT-S63","Browser refresh KDS recovery","PASS","",""
"ENT-S64","Slow network duplicate KDS","PASS","count=0",""
"ENT-S65","SignalR reconnect via API poll","PASS","KDS API idempotent",""
"ENT-S67","One item one station by design","PASS","stations=1",""
"ENT-S68","Manager priority affects KDS order","PASS","priority=88",""
"ENT-S69","Manager force priority 999","PASS","",""
"ENT-S71","Product two-station pipeline","PASS","parrilla=True armado=True ready=True",""
"ENT-S72","Half-and-half pizza notes + modifier","PASS","modifier=1",""
"ENT-S73","Shared drink pitcher product","PASS","shareable=t portions=4",""
"ENT-S74","Product without recipe BOM","PASS","Enterprise products sin receta obligatoria",""
"ENT-S75","Ingredient out auto-alternatives","PASS","alts=1",""
"ENT-S76","Last ingredient race one wins","PASS","orders_ok=1",""
"ENT-S78","Supervisor discount + control","PASS","",""
"ENT-S79","Reopen/add after full pay","PASS","status=SentToKitchen newOrder=a83fa896-ac30-49ab-bf63-726fe128ac4a",""
"ENT-S80","Chaos lite simulation consistent","PASS","items=2 pays=1",""
