"Id","Blocker","Name","Details"
"RFS-29-05","UX BLOCKER","Guided wizard self-service","No onboarding wizard - manual CRUD only"
"RFS-30-02","UX BLOCKER","In-app setup guide","No first-day checklist in UI"
"RFS-32-02","SALE BLOCKER","Cash register close UI","No caja module"
"RFS-33-02","UX BLOCKER","Structured incident codes","No incident playbook in-app"
"RFS-35-01","SALE BLOCKER","Subscription plans engine","No plan tiers or usage limits"
"RFS-35-02","SALE BLOCKER","Usage limits enforced","No user/branch/table limits"
"RFS-38-01","SALE BLOCKER","POS import wizard","No import API"
"RFS-39-02","SALE BLOCKER","Full tenant data export","No bulk tenant export"
"RFS-40-02","SALE BLOCKER","Formal day-close workflow","Report only - no close ritual"
"RFS-42-01","SALE BLOCKER","Cash register module","No caja open/close/arqueo"
"RFS-50-01","SALE BLOCKER","Thermal print + retry","HTML receipt only"
"RFS-51-01","SALE BLOCKER","Pre-bill flow","Not implemented"
"RFS-52-01","SALE BLOCKER","Post-payment invoice generation","Invoice model exists, no UI flow"
"RFS-54-01","UX BLOCKER","Customer VIP program","Order.IsVip only"
"RFS-55-01","UX BLOCKER","Structured allergen tags","Free-text notes only"
"RFS-56-01","SALE BLOCKER","Combo bundles","Not implemented"
"RFS-58-01","SALE BLOCKER","Happy hour auto-pricing","Manual discount only"
"RFS-66-02","SALE BLOCKER","Hotel / casino / franchise SaaS","Missing licensing, caja, fiscal"
